y,x1,x2,x3
y19,هندسه,20.0,بخش جدید امتحان دوم
y20,هندسه,0.0,بخش جدید امتحان دوم
y21,هندسه,0.0,بخش جدید امتحان دوم
y01,ریاضی,2.222222222,تستی آبان ماه
y02,ریاضی,4.444444444,تستی آبان ماه
y03,ریاضی,2.222222222,تستی آبان ماه
y04,ریاضی,8.444444444,تستی آبان ماه
y05,ریاضی,2.222222222,تستی آبان ماه
y06,ریاضی,6.222222222,تستی آبان ماه
y07,ریاضی,1.777777778,تستی آبان ماه
y08,ریاضی,2.666666667,تستی آبان ماه
y09,ریاضی,5.333333333,تستی آبان ماه
y10,ریاضی,7.111111111,تستی آبان ماه
y11,ریاضی,4.444444444,تستی آبان ماه
y12,ریاضی,4.0,تستی آبان ماه
y13,ریاضی,0.0,تستی آبان ماه
y14,ریاضی,1.777777778,تستی آبان ماه
y15,ریاضی,8.888888889,تستی آبان ماه
y16,ریاضی,4.888888889,تستی آبان ماه
y17,ریاضی,0.8888888889,تستی آبان ماه
y18,ریاضی,17.77777778,تستی آبان ماه
y19,ریاضی,20.0,تستی آبان ماه
y20,ریاضی,0.0,تستی آبان ماه
y21,ریاضی,0.0,تستی آبان ماه
